"asset_id","path","capability","language","entrypoint","data_store","status","verification","tests","last_used","target_module","decision","rationale","risk","owner"
"DATA-GAMMA-001","src/platform/clients/gamma.py","Gamma market/event pagination and normalization","Python","GammaClient markets/events","remote Gamma API","implemented","code and fixtures inspected","gamma normalize and pagination passed","2026-08-26 verified","Market Census","ADAPT","reuse client; add canonical identity, revision, raw provenance","API schema/rate drift","Market Data"
"DATA-MODEL-002","src/models/market.py","market/event models","Python","Market/Event models","in-memory","implemented","field mapping inspected","covered by Gamma suites","2026-08-26 verified","MarketSnapshot","ADAPT","add condition/token mapping, rule hash and observed clocks","implicit outcome order","Shared Contracts"
"DATA-CATALOG-003","src/strategies/rule_lawyer/{schema,storage,pipeline}.py","market catalog and rule sync","Python/SQLite","catalog sync pipeline","runtime/db/research.db intended","code-only/not initialized","DB schema queried","rule-lawyer targeted tests passed","not present in current DB","Catalog Revision Store","REFACTOR","make append-only alpha revisions; preserve legacy tables","current-row overwrite and weak cursor","Market Data"
"DATA-CLOB-004","src/platform/clients/clob.py","REST mid and sorted book","Python","CLOBClient book/mid","remote CLOB/API archive","implemented","code inspected","CLOB sorting passed","2026-08-26 verified","Orderbook Adapter","ADAPT","join market/token identity and emit paired target-size metrics","one-sided/stale book","Market Data"
"DATA-QUERY-005","scripts/research/market_query_tool.py","single-market diagnostic","Python/CLI","market query CLI","files/stdout","implemented","entrypoint inspected","manual diagnostic only","historical","Operator Diagnostics","ADAPT","retain as read-only probe, not collector","could be mistaken for owner","Market Data"
"DATA-CAPTURE-006","src/platform/market_data/{capture_contract,identity}.py","capture ids, clocks and hashes","Python","capture contracts","raw artifacts","implemented","strict contracts inspected","market-data contract suites passed","2026-08-26 production","Raw Capture Contract","KEEP","already provides strong immutable lineage primitives","weather naming leaks","Market Data"
"DATA-DEMAND-007","src/platform/market_data/{capture_demand,capture_receipt}.py","coalesced demand and receipt","Python","demand/receipt API","runtime artifacts","implemented","owner flow inspected","contract tests passed","2026-08-26 production","Capture Request Boundary","KEEP","enforces single writer and auditable request flow","coverage limited by current config","Market Data"
"DATA-WS-008","src/platform/market_data/ws_incremental_book.py","immutable WS book reconstruction","Python","incremental book rebuilder","raw book artifacts","implemented","lineage/depth behavior inspected","book tests passed","2026-08-26 production","Book Reconstruction","KEEP","supports clocks, hash and insufficient-depth semantics","currently weather-wired","Market Data"
"DATA-OWNER-009","weather_data_feed_service/market_books.py","production REST and selective WS capture owner","Python/service","weather_market_books session","JRS raw/cache","active","manifest/process/health verified","production health and book tests passed","2026-08-26","Single Book Owner","ADAPT","retain ownership and expose platform adapter/demand surface","production expansion needs separate deploy approval","Market Data/Operations"
"DATA-HISTORY-010","scripts/analysis/market_book_ladder_history.py","append-only ladder materialization","Python/CLI","history materializer","artifact root","implemented","code/path inspected","history tests passed","2026-08","Orderbook History Adapter","ADAPT","reuse materialization and lineage with generic identity","weather-specific schema","Market Data"
"DATA-LEGACYWS-011","src/platform/market_data/{market_ws,feeder}.py","legacy generic in-memory WS","Python","legacy feeder","memory","superseded","code inspected","no qualifying persistence proof","historical","Market Data Streaming","REPLACE","use existing strict incremental-book owner instead","duplicate connection/owner","Market Data"
