city,target_date,decision_hour_local,decision_snapshot_ts_utc,unit,timezone,current_bracket,d1_no_bracket,d2_no_bracket,current_yes_ask,current_yes_ask_size,current_bracket_no_ask,current_no_ask,current_no_ask_size,current_no_bid,d1_no_ask,d1_no_ask_size,d1_no_bid,d2_no_ask,d2_no_ask_size,d2_no_bid,current_question,d1_question,d2_question,current_yes_token_id,current_no_token_id,d1_no_token_id,d2_no_token_id,current_market_id,d1_market_id,d2_market_id,current_event_slug,d1_event_slug,d2_event_slug,event_slug,question,forecast_source,forecast_max_f,forecast_max_native,forecast_peak_hour_local,forecast_peak_delta_hours_local,forecast_peak_hour_spread,forecast_gap_to_running_native,gfs_gap_to_running_native,ecmwf_gap_to_running_native,running_native,current_native,decline_native,running_value,current_temp_c,running_max_c,tmpf_now,dwpf_now,dewpoint_depression_f,relative_humidity_pct,wind_speed_kt,sky_cover_code,temp_trend_1h_f,temp_trend_3h_f,minutes_since_running_max,running_max_obs_utc,obs_age_min,obs_source,snapshot_path,actual_bucket,city_family,solar_window,day_regime,moisture_cloud_regime,wind_regime,running_max_state,intraday_state,composite_regime,hour_bucket,decision_hour_sin,decision_hour_cos,forecast_peak_delta_abs,forecast_minus_running_native,forecast_minus_current_native,running_minus_current_native,forecast_to_current_upper_native,forecast_to_d1_upper_native,forecast_to_d2_upper_native,forecast_to_current_mid_native,forecast_to_d1_mid_native,forecast_to_d2_mid_native,running_to_current_upper_native,current_to_current_upper_native,running_position_in_current_native,current_position_in_current_native,market_p_current,market_log_p_current,forecast_anchor_p_current,runningmax_anchor_p_current,market_p_d1,market_log_p_d1,forecast_anchor_p_d1,runningmax_anchor_p_d1,market_p_d2,market_log_p_d2,forecast_anchor_p_d2,runningmax_anchor_p_d2,market_p_tail,market_log_p_tail,forecast_anchor_p_tail,runningmax_anchor_p_tail,market_entropy,market_top_p,market_top2_gap,current_bracket_width_native,current_frac_in_current_bracket,running_frac_in_current_bracket,forecast_frac_in_current_bracket,current_native_frac,running_native_frac,forecast_native_frac,current_dist_to_upper_share,running_dist_to_upper_share,forecast_dist_to_upper_share
Amsterdam,2026-07-01,9.0,2026-07-01T07:56:37Z,C,Europe/Amsterdam,23,24,25,0.16,48.41,0.85,0.85,126.52,0.84,0.46,605.0,0.44,0.84,389.62,0.8,Will the highest temperature in Amsterdam be 23°C on July 1?,Will the highest temperature in Amsterdam be 24°C on July 1?,Will the highest temperature in Amsterdam be 25°C on July 1?,95839065826739757506037027349982996332506732154016459409005667680207125597042,13699635843796231653423300636076384799962565133088226254899588452538246448866,5140987848497437109791334925226393134593079124350896608571263353261081912417,100604091299857987121270241740983442724486699224020535572699217987831828436105,2726039,2726040,2726041,highest-temperature-in-amsterdam-on-july-1-2026,highest-temperature-in-amsterdam-on-july-1-2026,highest-temperature-in-amsterdam-on-july-1-2026,highest-temperature-in-amsterdam-on-july-1-2026,Will the highest temperature in Amsterdam be 23°C on July 1?,open_meteo_live_ecmwf,71.7,22.1,15.0,-5.07,,-0.8999999999999986,,,23.0,23.0,0.0,23.0,23.0,23.0,73.4,48.2,25.200000000000003,,9.0,,0.0,0.0,30.889,2026-07-01T15:25:00+00:00,30.889,aviationweather_metar,,current,europe_cloud_break,late_morning,day_forecast_busted,dry_heat_inertia,light_wind,fresh_running_high,fresh_high,day_forecast_busted | fresh_high | dry_heat_inertia,10_11,0.7071067811865476,-0.7071067811865475,5.07,-0.8999999999999986,-0.8999999999999986,0.0,-1.3999999999999986,-2.3999999999999986,-3.3999999999999986,-0.8999999999999986,-1.8999999999999986,-2.8999999999999986,-0.5,-0.5,0.0,0.0,0.15750000000000003,-1.8483298207164491,0.8272491871481031,0.5154802305372643,0.55,-0.5978370007556204,0.16701873039911153,0.4127643010553665,0.17999999999999994,-1.714798428091927,0.00569921352031391,0.06976266300263508,0.11250000000000004,-2.1848020573376616,3.286893247134949e-05,0.001992805404734094,0.8471333928941103,0.55,0.3700000000000001,1.0,0.5,0.5,-0.3999999999999986,0.0,0.0,0.10000000000000142,0.5,0.5,1.3999999999999986
Ankara,2026-07-01,10.0,2026-07-01T07:56:37Z,C,Europe/Istanbul,31,32,33,0.15,93.46,0.88,0.88,240.0,0.85,0.37,120.03,0.31,0.84,307.58,0.81,Will the highest temperature in Ankara be 31°C on July 1?,Will the highest temperature in Ankara be 32°C on July 1?,Will the highest temperature in Ankara be 33°C on July 1?,64225446173367701493853453999738075728511215536819152552013978186691497669117,47685817448215285930082558397838025077999830405928615931617175411548897385545,47054457792103673190096904829808378063174328321908366205606070979325216755399,107829421282224785751278282025378667221826222450121036339665873114330641597519,2725818,2725819,2725820,highest-temperature-in-ankara-on-july-1-2026,highest-temperature-in-ankara-on-july-1-2026,highest-temperature-in-ankara-on-july-1-2026,highest-temperature-in-ankara-on-july-1-2026,Will the highest temperature in Ankara be 31°C on July 1?,open_meteo_live_ecmwf,86.7,30.4,17.0,-6.07,,-0.6000000000000014,,,31.0,31.0,0.0,31.0,31.0,31.0,87.8,41.0,46.8,,6.0,,0.0,0.0,35.884,2026-07-01T15:20:00+00:00,35.884,aviationweather_metar,,current,continental_dry_hot,late_morning,day_forecast_busted,dry_heat_inertia,light_wind,fresh_running_high,fresh_high,day_forecast_busted | fresh_high | dry_heat_inertia,10_11,0.49999999999999994,-0.8660254037844387,6.07,-0.6000000000000014,-0.6000000000000014,0.0,-1.1000000000000014,-2.1000000000000014,-3.1000000000000014,-0.6000000000000014,-1.6000000000000014,-2.6000000000000014,-0.5,-0.5,0.0,0.0,0.14250000000000002,-1.9484132792734317,0.732939640157322,0.5154802305372643,0.66,-0.4155154439616658,0.2522439527039144,0.4127643010553665,0.17500000000000004,-1.7429693050586228,0.014672166169619865,0.06976266300263508,0.022499999999999964,-3.7942399697717644,0.00014424096914362637,0.001992805404734094,0.6797107017409243,0.66,0.485,1.0,0.5,0.5,-0.10000000000000142,0.0,0.0,0.3999999999999986,0.5,0.5,1.1000000000000014
Atlanta,2026-07-01,3.0,2026-07-01T07:56:37Z,F,America/New_York,90-91,92-93,94-95,0.039,35.0,0.98,0.98,5.0,0.961,0.79,584.37,0.78,0.56,1132.92,0.55,Will the highest temperature in Atlanta be between 90-91°F on July 1?,Will the highest temperature in Atlanta be between 92-93°F on July 1?,Will the highest temperature in Atlanta be between 94-95°F on July 1?,11724403135960180449410746986150665293845778805562253892597708453847857353522,107837621185971710773292953255080427473697596684636410509283919237559465684704,25377236176239498885585663861027364195432751639481978474893212378920429078587,53270214170441469576073932435244394605737064732047581872333388021418797105155,2737657,2737658,2737659,highest-temperature-in-atlanta-on-july-1-2026,highest-temperature-in-atlanta-on-july-1-2026,highest-temperature-in-atlanta-on-july-1-2026,highest-temperature-in-atlanta-on-july-1-2026,Will the highest temperature in Atlanta be between 90-91°F on July 1?,open_meteo_live_gfs,96.8,96.8,16.0,-12.07,,5.760000000000005,,,91.03999999999999,91.03999999999999,0.0,91.03999999999999,32.8,32.8,91.03999999999999,73.94,17.099999999999994,,0.0,,3.0599999999999925,7.019999999999998,3.9,2026-07-01T15:52:00+00:00,3.9,aviationweather_metar,,current,humid_low_latitude,late_morning,day_open_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,day_open_runway | active_warming | mixed_moisture,10_11,0.7071067811865475,0.7071067811865476,12.07,5.760000000000005,5.760000000000005,0.0,5.299999999999997,3.299999999999997,1.2999999999999972,6.299999999999997,4.299999999999997,2.299999999999997,-0.46000000000000796,-0.46000000000000796,0.539999999999992,0.539999999999992,0.034250000000000023,-3.374068714273902,8.178638553589764e-10,0.5455083266825604,0.21499999999999997,-1.5371172508544744,5.1134078120116206e-05,0.4519760449729771,0.44499999999999995,-0.809680996815897,0.18208500974503955,0.0025156169194342215,0.3057500000000001,-1.184987504414855,0.8178638553589764,1.1425028201859168e-08,0.8430100188183917,0.44499999999999995,0.13924999999999987,2.0,0.769999999999996,0.769999999999996,3.6499999999999986,0.03999999999999204,0.03999999999999204,0.7999999999999972,0.23000000000000398,0.23000000000000398,-2.6499999999999986
Beijing,2026-07-01,15.0,2026-07-01T07:56:37Z,C,Asia/Shanghai,31,32,33,0.95,5.0,0.09,0.09,61.49,0.05,0.95,50.0,0.92,0.996,21.1,0.995,Will the highest temperature in Beijing be 31°C on July 1?,Will the highest temperature in Beijing be 32°C on July 1?,Will the highest temperature in Beijing be 33°C on July 1?,30342911746261000464792165131679218237142238915367827761749945070895577692681,51247721575447005860810404716718574682029255731563861533004801337773597963038,16326722532052546589998042939766397585626447765048363156540499775228001106990,89932273581789530406373757638381927572776028081547835259617328894911421963526,2725961,2725962,2725963,highest-temperature-in-beijing-on-july-1-2026,highest-temperature-in-beijing-on-july-1-2026,highest-temperature-in-beijing-on-july-1-2026,highest-temperature-in-beijing-on-july-1-2026,Will the highest temperature in Beijing be 31°C on July 1?,open_meteo_live_ecmwf,87.3,30.7,16.0,-0.07,,-0.3000000000000007,,,31.0,27.0,4.0,31.0,27.0,31.0,80.6,71.6,9.0,,2.0,,-1.8,0.0,385.908,2026-07-01T09:30:00+00:00,25.908,aviationweather_metar,,current,continental_dry_hot,afternoon_decay_window,day_forecast_capped,mixed_moisture,light_wind,mature_fade,mature_fade,day_forecast_capped | mature_fade | mixed_moisture,14_16,-0.7071067811865471,-0.7071067811865479,0.07,-0.3000000000000007,3.6999999999999993,4.0,-0.8000000000000007,-1.8000000000000007,-2.8000000000000007,-0.3000000000000007,-1.3000000000000007,-2.3000000000000007,-0.5,-4.5,0.0,-4.0,0.9311540357294166,-0.07133056347943194,0.6160557901996055,0.5154802305372643,0.06438831098128939,-2.7428231688478455,0.34878254195560243,0.4127643010553665,0.004457652298704603,-5.413133041967219,0.03458214567544962,0.06976266300263508,9.905893997121453e-10,-20.72326583694641,0.000579522169342423,0.001992805404734094,0.19271186999371281,0.9311540357294166,0.8667657247481272,1.0,-3.5,0.5,0.1999999999999993,0.0,0.0,0.6999999999999993,4.5,0.5,0.8000000000000007
BuenosAires,2026-07-01,4.0,2026-07-01T07:56:37Z,C,America/Argentina/Buenos_Aires,11,12,13,0.021,30.0,0.988,0.988,200.0,0.979,0.95,51.94,0.94,0.64,1280.37,0.63,Will the highest temperature in Buenos Aires be 11°C on July 1?,Will the highest temperature in Buenos Aires be 12°C on July 1?,Will the highest temperature in Buenos Aires be 13°C on July 1?,57051199739422852188392736425261345053916398976044770585336298360059779268337,115324999516668330842772716771016349015890313871634848262002743513754726787559,33163113225654789973733139759264140935117206804885371581086871018182739475395,114044739390238000151003266431499674966040555674662452661732266255914849137585,2737595,2737596,2737597,highest-temperature-in-buenos-aires-on-july-1-2026,highest-temperature-in-buenos-aires-on-july-1-2026,highest-temperature-in-buenos-aires-on-july-1-2026,highest-temperature-in-buenos-aires-on-july-1-2026,Will the highest temperature in Buenos Aires be 11°C on July 1?,open_meteo_live_ecmwf,55.1,12.8,15.0,-10.07,,1.8000000000000007,,,11.0,11.0,0.0,11.0,11.0,11.0,51.8,44.6,7.199999999999996,,5.0,,3.6,14.4,55.903,2026-07-01T15:00:00+00:00,55.903,aviationweather_metar,,current,southern_or_maritime,late_morning,day_open_runway,mixed_moisture,light_wind,near_high_plateau,active_warming,day_open_runway | active_warming | mixed_moisture,10_11,0.8660254037844386,0.5000000000000001,10.07,1.8000000000000007,1.8000000000000007,0.0,1.3000000000000007,0.3000000000000007,-0.6999999999999993,1.8000000000000007,0.8000000000000007,-0.1999999999999993,-0.5,-0.5,0.0,0.0,0.018750000000000013,-3.9765615265657166,0.07972153926887801,0.5154802305372643,0.05500000000000005,-2.900422093749665,0.330551352627033,0.4127643010553665,0.365,-1.0078579253996456,0.3580820055033299,0.06976266300263508,0.56125,-0.577588839925673,0.23164510260075907,0.001992805404734094,0.6680569790461695,0.56125,0.19625000000000004,1.0,0.5,0.5,2.3000000000000007,0.0,0.0,0.8000000000000007,0.5,0.5,-1.3000000000000007
CapeTown,2026-07-01,9.0,2026-07-01T07:56:37Z,C,Africa/Johannesburg,15,16,17,0.44,37.73,0.59,0.59,110.0,0.56,0.59,105.08,0.56,0.95,72.92,0.92,Will the highest temperature in Cape Town be 15°C on July 1?,Will the highest temperature in Cape Town be 16°C on July 1?,Will the highest temperature in Cape Town be 17°C on July 1?,114813683073263778828179482951205047149268985074334036045463687299530597098760,71083281134292241507918730906265273820309776498294738173457602310253770397832,34552015998874827599128133176155379814083756657460751405236775382892556961070,60745892930127284072786752042031234652219998636255275306431434230424109519758,2726964,2726965,2726966,highest-temperature-in-cape-town-on-july-1-2026,highest-temperature-in-cape-town-on-july-1-2026,highest-temperature-in-cape-town-on-july-1-2026,highest-temperature-in-cape-town-on-july-1-2026,Will the highest temperature in Cape Town be 15°C on July 1?,open_meteo_live_ecmwf,58.3,14.6,13.0,-3.07,,-0.40000000000000036,,,15.0,13.0,2.0,15.0,13.0,15.0,55.4,46.4,9.0,,11.0,,-3.6,-3.6,115.921,2026-07-01T14:00:00+00:00,55.921,aviationweather_metar,,current,southern_or_maritime,late_morning,day_forecast_capped,mixed_moisture,moderate_wind,pullback_from_high,pullback_uncertain,day_forecast_capped | pullback_uncertain | mixed_moisture,10_11,0.7071067811865476,-0.7071067811865475,3.07,-0.40000000000000036,1.5999999999999996,2.0,-0.9000000000000004,-1.9000000000000004,-2.9000000000000004,-0.40000000000000036,-1.4000000000000004,-2.4000000000000004,-0.5,-2.5,0.0,-2.0,0.4325,-0.8381729526102031,0.65456999255241,0.5154802305372643,0.42500000000000004,-0.8556661100577201,0.3186134205585872,0.4127643010553665,0.06499999999999995,-2.733368009086501,0.026445595725767358,0.06976266300263508,0.07750000000000001,-2.5574773426228354,0.0003709911632354578,0.001992805404734094,0.7949547688645822,0.4325,0.007499999999999951,1.0,-1.5,0.5,0.09999999999999964,0.0,0.0,0.5999999999999996,2.5,0.5,0.9000000000000004
Chengdu,2026-07-01,15.0,2026-07-01T07:56:37Z,C,Asia/Shanghai,32,33,34,0.82,28.42,0.23,0.23,25.0,0.18,0.99,86.73,0.92,0.998,206.83,0.993,Will the highest temperature in Chengdu be 32°C on July 1?,Will the highest temperature in Chengdu be 33°C on July 1?,Will the highest temperature in Chengdu be 34°C on July 1?,104846797037517884835434703055299066674615972186859467688114172422016536503234,14103550450097369536726312082187351342236296256785903855451863294515486133046,2073637267266184711762392956354191851804962465911115408237382453310564619187,7666081740258825233343647890125605232290161991033936640310391949190668923781,2725986,2725987,2725988,highest-temperature-in-chengdu-on-july-1-2026,highest-temperature-in-chengdu-on-july-1-2026,highest-temperature-in-chengdu-on-july-1-2026,highest-temperature-in-chengdu-on-july-1-2026,Will the highest temperature in Chengdu be 32°C on July 1?,open_meteo_live_ecmwf,89.0,31.7,17.0,-1.07,,-0.3000000000000007,,,32.0,27.0,5.0,32.0,27.0,32.0,80.6,73.4,7.199999999999989,,4.0,,0.0,-1.8,475.92,2026-07-01T08:00:00+00:00,55.92,aviationweather_metar,,current,humid_low_latitude,afternoon_decay_window,day_forecast_capped,mixed_moisture,light_wind,mature_fade,mature_fade,day_forecast_capped | mature_fade | mixed_moisture,14_16,-0.7071067811865471,-0.7071067811865479,1.07,-0.3000000000000007,4.699999999999999,5.0,-0.8000000000000007,-1.8000000000000007,-2.8000000000000007,-0.3000000000000007,-1.3000000000000007,-2.3000000000000007,-0.5,-5.5,0.0,-5.0,0.8075,-0.21381222388532545,0.6160557901996055,0.5154802305372643,0.04499999999999993,-3.101092789211819,0.34878254195560243,0.4127643010553665,0.0044999999999999485,-5.403677882205875,0.03458214567544962,0.06976266300263508,0.14300000000000013,-1.944910648722229,0.000579522169342423,0.001992805404734094,0.4433699918122809,0.8075,0.6644999999999999,1.0,-4.5,0.5,0.1999999999999993,0.0,0.0,0.6999999999999993,5.5,0.5,0.8000000000000007
Chicago,2026-07-01,2.0,2026-07-01T07:56:37Z,F,America/Chicago,88-89,90-91,92-93,0.004,37.69,0.998,0.998,97.28,0.996,0.989,54.91,0.986,0.79,305.0,0.76,Will the highest temperature in Chicago be between 88-89°F on July 1?,Will the highest temperature in Chicago be between 90-91°F on July 1?,Will the highest temperature in Chicago be between 92-93°F on July 1?,33738348354952920517797008590416362807937676491611751560770128784312295700680,102654983755931978131232646275749695116870877055621742813151928906068227565082,114124491252487550578446677427318573364738885899573203153905280377681323820008,22579105301400414806431740281731662272412066436789433057422958904488626091917,2737677,2737678,2737679,highest-temperature-in-chicago-on-july-1-2026,highest-temperature-in-chicago-on-july-1-2026,highest-temperature-in-chicago-on-july-1-2026,highest-temperature-in-chicago-on-july-1-2026,Will the highest temperature in Chicago be between 88-89°F on July 1?,open_meteo_live_gfs,97.2,97.2,14.0,-11.07,,9.219999999999999,,,87.98,87.98,0.0,87.98,31.1,31.1,87.98,71.06,16.92,,14.0,,0.9,5.040000000000001,4.924,2026-07-01T15:51:00+00:00,4.924,aviationweather_metar,,current,other,late_morning,day_open_runway,mixed_moisture,moderate_wind,fresh_running_high,fresh_high,day_open_runway | fresh_high | mixed_moisture,10_11,0.49999999999999994,0.8660254037844387,11.07,9.219999999999999,9.219999999999999,0.0,7.700000000000003,5.700000000000003,3.700000000000003,8.700000000000003,6.700000000000003,4.700000000000003,-1.519999999999996,-1.519999999999996,-0.519999999999996,-0.519999999999996,0.0035000000000000022,-5.654992310486769,9.99994808608344e-10,0.8863068876156238,0.012499999999999956,-4.382026634673885,9.99994808608344e-10,0.11367850991933999,0.22499999999999998,-1.491654876777717,5.189391666410728e-06,1.46015787292469e-05,0.7590000000000001,-0.27575350158650697,0.9999948086083439,8.863068876156239e-10,0.4468654553992644,0.7590000000000001,0.5340000000000001,2.0,0.240000000000002,0.240000000000002,4.850000000000001,0.980000000000004,0.980000000000004,0.20000000000000284,0.759999999999998,0.759999999999998,-3.8500000000000014
Guangzhou,2026-07-01,15.0,2026-07-01T07:56:37Z,C,Asia/Shanghai,34,35,36,0.03,92.0,0.99,0.99,156.37,0.97,0.998,118.61,0.99,0.999,175.39,0.995,Will the highest temperature in Guangzhou be 34°C on July 1?,Will the highest temperature in Guangzhou be 35°C on July 1?,Will the highest temperature in Guangzhou be 36°C on July 1?,35470323240534360147413279948673889403972629220454088568572629529498510859184,5429827849756584976928610056699915826197715064763312679632502230891179776154,62240833249507036888608702954926977490896688863235837176787952610613168075868,92338229118119308003154227849059894031025318358912687494563824320892336291450,2726085,2726086,2726087,highest-temperature-in-guangzhou-on-july-1-2026,highest-temperature-in-guangzhou-on-july-1-2026,highest-temperature-in-guangzhou-on-july-1-2026,highest-temperature-in-guangzhou-on-july-1-2026,Will the highest temperature in Guangzhou be 34°C on July 1?,open_meteo_live_gfs,91.5,33.1,13.0,2.93,,-0.8999999999999986,,,34.0,28.0,6.0,34.0,28.0,34.0,82.4,77.0,5.400000000000006,,4.0,,0.0,-3.6,355.942,2026-07-01T10:00:00+00:00,25.942,aviationweather_metar,,current,humid_low_latitude,afternoon_decay_window,day_forecast_busted,mixed_moisture,light_wind,mature_fade,mature_fade,day_forecast_busted | mature_fade | mixed_moisture,14_16,-0.7071067811865471,-0.7071067811865479,2.93,-0.8999999999999986,5.100000000000001,6.0,-1.3999999999999986,-2.3999999999999986,-3.3999999999999986,-0.8999999999999986,-1.8999999999999986,-2.8999999999999986,-0.5,-6.5,0.0,-6.0,0.025000000000000015,-3.688879454113936,0.8272491871481031,0.5154802305372643,0.006000000000000005,-5.115995809754081,0.16701873039911153,0.4127643010553665,0.0030000000000000027,-5.809142990314027,0.00569921352031391,0.06976266300263508,0.966,-0.03459144476961909,3.286893247134949e-05,0.001992805404734094,0.1253418687279359,0.966,0.941,1.0,-5.5,0.5,-0.3999999999999986,0.0,0.0,0.10000000000000142,6.5,0.5,1.3999999999999986
Helsinki,2026-07-01,10.0,2026-07-01T07:56:37Z,C,Europe/Helsinki,24,25,26,0.53,8.78,0.6,0.6,15.35,0.47,0.69,8.99,0.64,0.938,8.08,0.901,Will the highest temperature in Helsinki be 24°C on July 1?,Will the highest temperature in Helsinki be 25°C on July 1?,Will the highest temperature in Helsinki be 26°C on July 1?,84557019121142463862124254295880750352005534251644036017412617197863076599664,97733434147905511072780539813689773171357676700608741887615676700793472156031,64735558313606520373723998787674125273296761665030654224707638446222532797573,103229023223903595953555216447579500672479370441656888673498676124026392278864,2726050,2726051,2726052,highest-temperature-in-helsinki-on-july-1-2026,highest-temperature-in-helsinki-on-july-1-2026,highest-temperature-in-helsinki-on-july-1-2026,highest-temperature-in-helsinki-on-july-1-2026,Will the highest temperature in Helsinki be 24°C on July 1?,open_meteo_live_ecmwf,73.3,22.9,15.0,-4.07,,-1.1000000000000014,,,24.0,22.0,2.0,24.0,22.0,24.0,71.6,50.0,21.599999999999994,,10.0,,-1.8,-3.6,95.946,2026-07-01T14:20:00+00:00,5.946,aviationweather_metar,,current,europe_cloud_break,late_morning,day_forecast_busted,mixed_moisture,moderate_wind,pullback_from_high,pullback_uncertain,day_forecast_busted | pullback_uncertain | mixed_moisture,10_11,0.49999999999999994,-0.8660254037844387,4.07,-1.1000000000000014,0.8999999999999986,2.0,-1.6000000000000014,-2.6000000000000014,-3.6000000000000014,-1.1000000000000014,-2.1000000000000014,-3.1000000000000014,-0.5,-2.5,0.0,-2.0,0.49750000000000005,-0.6981597223834894,0.8734517923162429,0.5154802305372643,0.33499999999999996,-1.0936247471570708,0.12358107067174386,0.4127643010553665,0.08050000000000002,-2.519498094557619,0.0029551932609512407,0.06976266300263508,0.08699999999999997,-2.4418471603275536,1.1943751062052663e-05,0.001992805404734094,0.8143718126587364,0.49750000000000005,0.1625000000000001,1.0,-1.5,0.5,-0.6000000000000014,0.0,0.0,0.8999999999999986,2.5,0.5,1.6000000000000014
Houston,2026-07-01,2.0,2026-07-01T07:56:37Z,F,America/Chicago,92-93,94-95,96-97,0.24,410.38,0.77,0.77,73.0,0.76,0.35,134.36,0.34,0.9,25.0,0.89,Will the highest temperature in Houston be between 92-93°F on July 1?,Will the highest temperature in Houston be between 94-95°F on July 1?,Will the highest temperature in Houston be between 96-97°F on July 1?,110098914123634490885635289352245360199484311797259742152859614134054912036824,62210918721210607011772156556500782189546547976628666903192248264945572751472,24096773001537589388089526631496475923249563660624682132351865021252538665699,47470850084961144827782899385285363730429335020760652450587087650963661250494,2737714,2737715,2737716,highest-temperature-in-houston-on-july-1-2026,highest-temperature-in-houston-on-july-1-2026,highest-temperature-in-houston-on-july-1-2026,highest-temperature-in-houston-on-july-1-2026,Will the highest temperature in Houston be between 92-93°F on July 1?,open_meteo_live_gfs,93.3,93.3,13.0,-10.07,,1.3599999999999994,,,91.94,91.94,0.0,91.94,33.3,33.3,91.94,73.04,18.89999999999999,,6.0,,3.9599999999999924,9.899999999999995,2.995,2026-07-01T15:53:00+00:00,2.995,aviationweather_metar,,current,humid_low_latitude,late_morning,day_marginal_runway,mixed_moisture,light_wind,fresh_running_high,active_warming,day_marginal_runway | active_warming | mixed_moisture,10_11,0.49999999999999994,0.8660254037844387,10.07,1.3599999999999994,1.3599999999999994,0.0,-0.20000000000000284,-2.200000000000003,-4.200000000000003,0.7999999999999972,-1.2000000000000028,-3.200000000000003,-1.5600000000000023,-1.5600000000000023,-0.5600000000000023,-0.5600000000000023,0.2375,-1.4375876555074412,0.5054058939927467,0.8968855364992223,0.655,-0.4231200433468851,0.4877516202412843,0.10310297508303119,0.10499999999999998,-2.2537949288246137,0.0068424074405319954,1.1487520860975971e-05,0.0024999999999999467,-5.991464547108003,7.832543690179669e-08,8.968855364992223e-10,0.6277150436986623,0.655,0.41750000000000004,2.0,0.21999999999999886,0.21999999999999886,0.8999999999999986,0.9399999999999977,0.9399999999999977,0.29999999999999716,0.7800000000000011,0.7800000000000011,0.10000000000000142
