target_date,head,rule,day_rows
2026-05-29,current_yes_peak_forming,current_yes_peak_forming|h13-14|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.03,3
2026-05-29,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=0.5|ask>=0.55|p>=0.5|edge>=0.05,4
2026-05-30,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,7
2026-05-30,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,1
2026-05-31,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.65|p>=0.5|edge>=0.05,2
2026-05-31,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,1
2026-06-01,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,4
2026-06-01,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,2
2026-06-02,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,4
2026-06-02,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,0
2026-06-03,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,4
2026-06-03,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,2
2026-06-04,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,6
2026-06-04,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,0
2026-06-05,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,3
2026-06-05,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,3
2026-06-06,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,7
2026-06-06,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,3
2026-06-07,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,5
2026-06-07,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,1
2026-06-08,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,5
2026-06-08,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,3
2026-06-09,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,4
2026-06-09,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,1
2026-06-10,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,2
2026-06-10,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,3
2026-06-11,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,8
2026-06-11,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,3
2026-06-12,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,6
2026-06-12,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,5
2026-06-13,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,5
2026-06-13,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,4
2026-06-14,current_yes_peak_forming,current_yes_peak_forming|h14-15|decline<=0.01|ask>=0.55|p>=0.5|edge>=0.05,1
2026-06-14,current_yes_fade_confirmed,current_yes_fade_confirmed|h13-15|decline>=1|ask>=0.55|p>=0.5|edge>=0.05,0
